,metric,IoU,confidence
0,0.34494716698477584,0.11494252873563218,0.5749518052339195
1,0.5494939750952748,0.2831858407079646,0.8158021094825849
2,0.4027751327757656,0.07079646017699115,0.73475380537454
3,0.41402753812217785,0.038834951456310676,0.789220124788045
4,0.5559815029986598,0.3147208121827411,0.7972421938145785
5,0.4355856699778804,0.09497206703910614,0.7761992729166547
6,0.46947518754043494,0.12582781456953643,0.8131225605113335
7,0.3132700262936237,0.012121212121212121,0.6144188404660353
8,0.5862283878370822,0.5286624203821656,0.6437943552919989
9,0.39172325031165844,0.15289256198347106,0.6305539386398459
10,0.23272939483004323,0.02622950819672131,0.43922928146336515
11,0.2238107406884592,0.10098176718092566,0.3466397141959927
12,0.30623497476554323,0.048458149779735685,0.5640117997513507
13,0.27665393649550496,0.11290322580645161,0.4404046471845583
14,0.2003614498063746,0.07389162561576355,0.32683127399698564
15,0.2236088611172578,0.02564102564102564,0.42157669659348995
16,0.1701412781424618,0.004073319755600814,0.3362092365293228
17,0.29791955372380213,0.20967741935483872,0.3861616880927655
18,0.3409343611062932,0.2970873786407767,0.3847813435718097
19,0.4241667960892546,0.019417475728155338,0.8289161164503539
20,0.43616099822309995,0.09090909090909091,0.781412905537109
21,0.4427855119415715,0.11538461538461539,0.7701864084985276
